Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
KUPANG,7301,7217,7085.32,6945,6875,6675,6550,6426
TIMOR TENGAH SELATAN,6676,6360,6117.53,6061,6005,5846,5760,5676
TIMOR TENGAH UTARA,6164,5930,5799.31,5679,5626,5468,5385,5237
BELU,7251,7199,7082.69,7025,6967,6770,6647,6527
ALOR,6553,6468,6346.33,6284,6223,6168,5951,5788
LEMBATA,7084,7010,6887.54,6857,6794,6602,6485,6370
FLORES TIMUR,7442,7237,7149.7,7099,7048,6888,6802,6717
SIKKA,7855,7740,7617.88,7559,7500,7314,7203,7028
ENDE,8841,8801,8678.65,8551,8491,8322,8227,8068
NGADA,8649,8195,8084.55,8070,8002,7770,7613,7536
MANGGARAI,7056,7008,6875.07,6790,6706,6511,6390,6206
ROTE NDAO,6320,6110,5946.31,5873,5800,5612,5497,5446
MANGGARAI BARAT,7269,7149,7011.94,6937,6862,6694,6599,6441
SUMBA TENGAH,5946,5907,5821.5,5788,5755,5617,5554,5491
SUMBA BARAT DAYA,6134,6079,5933.24,5880,5828,5667,5580,5538
NAGEKEO,8119,8054,7905.96,7868,7830,7645,7536,7362
MANGGARAI TIMUR,5643,5396,5246.29,5208,5170,5008,4920,4767
SABU RAIJUA,5120,4923,4780.62,4748,4717,4564,4485,-
MALAKA,5726,5658,5563.34,5512,5495,-,-,-
KOTA KUPANG,13028,12986,12855.78,12766,12676,12470,12339,12208
KALIMANTAN BARAT,8472,8348,8279.34,8175,8127,8002,7825,7654
SAMBAS,9403,9311,9194.69,9153,9083,8673,8242,7858
BENGKAYANG,8640,8588,8489.29,8363,8249,7956,7634,7351
LANDAK,6931,6737,6670,6417,6272,6201,6053,5936
PONTIANAK,7358,7270,7238.3,7063,6962,6863,6722,6611
SANGGAU,7828,7729,7622,7411,7368,7326,7241,7183
KETAPANG,8475,8430,8350.17,8159,8146,8133,8120,8107
SINTANG,8343,8302,8224.12,8098,8020,7771,7520,7302
KAPUAS HULU,6883,6691,6640,6440,6361,6283,6163,6072
SEKADAU,7001,6820,6795.28,6689,6601,6557,6470,6411
MELAWI,7922,7858,7841,7727,7631,7535,7398,7290
KAYONG UTARA,7434,7030,6949.91,6769,6661,6479,6376,6076
KUBU RAYA,8430,8145,7993.68,7973,7935,7821,7488,7168
KOTA PONTIANAK,13904,13838,13736.74,13706,13601,13496,13350,13232
